"No","Date","Open","High","Low","Close","Volume","Market_Cap","Coin","Delta"
416627,2014-09-23,406.55,433.29,393.09,433.29,60,"35,454",BITBTC,0.0657729676547
416626,2014-09-24,432.17,433.87,414.42,428.01,616,"37,689",BITBTC,-0.00962584168267
416625,2014-09-25,427.9,432.31,411.44,416.15,572,"37,317",BITBTC,-0.0274596868427
416624,2014-09-26,416.08,451.16,397.87,405.37,375,"20,665",BITBTC,-0.0257402422611
416623,2014-09-27,405.19,421.64,385.4,397.18,389,"20,446",BITBTC,-0.0197685036649
416622,2014-09-28,397.73,404.57,381.84,383.82,37,"20,070",BITBTC,-0.0349734744676
416621,2014-09-29,382.44,390.86,373.06,377.91,839,"19,298",BITBTC,-0.0118449952934
416620,2014-09-30,378.17,392.73,375.26,386.69,642,"19,149",BITBTC,0.0225295502023
416619,2014-10-01,386.67,394.25,379.2,381.69,"1,934","19,811",BITBTC,-0.0128791993172
416618,2014-10-02,381.13,387.48,374.26,376.26,38,"19,679",BITBTC,-0.0127777923543
416617,2014-10-03,376.26,384.53,369.07,369.22,37,"19,242",BITBTC,-0.018710466167
416616,2014-10-04,368.52,368.52,337.44,341.4,467,"18,847",BITBTC,-0.0735916639531
416615,2014-10-05,338.63,347.44,298.37,320.77,285,"17,318",BITBTC,-0.0527419307208
416614,2014-10-06,321.74,336.5,306.69,331.92,292,"16,454",BITBTC,0.0316404550258
416613,2014-10-07,340.61,342.13,325.64,328.79,"2,323","17,419",BITBTC,-0.0347024456123
416612,2014-10-08,329.27,353.04,322.48,336.42,19,"18,156",BITBTC,0.0217147022201
416611,2014-10-09,352.21,380.08,342.32,365.95,711,"19,421",BITBTC,0.0390108174101
416610,2014-10-10,366.86,377.23,354.83,361.07,601,"20,192",BITBTC,-0.015782587363
416609,2014-10-11,357.45,371.13,350.98,363.75,383,"19,674",BITBTC,0.0176248426353
416608,2014-10-12,364.46,375.1,349.99,368.58,3,"20,792",BITBTC,0.0113043955441
416607,2014-10-13,370.1,390.34,369.5,389.99,98,"21,114",BITBTC,0.0537422318292
416606,2014-10-14,390.33,408.12,389.65,402.68,"1,662","22,268",BITBTC,0.0316398944483
416605,2014-10-15,404.17,406.59,380.26,394.67,"1,717","22,342",BITBTC,-0.0235049607838
416604,2014-10-16,394.65,420.05,375.47,382.57,21,"20,750",BITBTC,-0.0306094007348
416603,2014-10-17,382.54,397.84,371.88,381.71,"1,201","20,115",BITBTC,-0.00216970774298
416602,2014-10-18,384.61,398.6,374.12,392.57,"1,016","20,416",BITBTC,0.0206962897481
416601,2014-10-19,391.92,404.03,376.5,390.14,"5,525","20,836",BITBTC,-0.0045417432129
416600,2014-10-20,389.99,406.0,353.87,386.23,"1,252","20,839",BITBTC,-0.00964127285315
416599,2014-10-21,384.52,414.41,374.23,390.69,513,"20,158",BITBTC,0.0160459794029
416598,2014-10-22,393.92,403.65,370.36,377.56,332,"20,936",BITBTC,-0.0415312753859
416597,2014-10-23,377.81,385.54,340.4,367.23,8,"20,104",BITBTC,-0.0280034938196
416596,2014-10-24,365.83,382.86,345.94,371.86,8,"19,505",BITBTC,0.0164830659049
416595,2014-10-29,349.69,351.71,325.45,341.44,1,"18,647",BITBTC,-0.0235923246304
416594,2014-10-30,336.04,349.95,308.63,347.39,561,"15,849",BITBTC,0.0337757409832
416593,2014-10-31,348.71,360.08,321.13,347.05,448,"14,681",BITBTC,-0.00476040262682
416592,2014-11-01,344.87,344.87,309.0,320.67,"1,871","15,028",BITBTC,-0.0701713689216
416591,2014-11-02,322.74,362.18,311.07,321.39,16,"14,533",BITBTC,-0.00418293363079
416590,2014-11-03,320.77,340.24,316.49,327.26,16,"14,460",BITBTC,0.0202325653895
416589,2014-11-04,327.72,338.2,312.43,326.12,0,"13,495",BITBTC,-0.0048822165263
416588,2014-11-05,328.77,352.83,322.17,340.52,507,"13,538",BITBTC,0.0357392706147
416587,2014-11-06,342.58,354.04,322.18,348.15,470,"13,610",BITBTC,0.0162589760056
416586,2014-11-07,348.37,358.76,340.04,341.68,4,"13,592",BITBTC,-0.0192037201826
416585,2014-11-08,341.23,370.75,337.74,345.23,0,"13,313",BITBTC,0.0117222987428
416584,2014-11-09,345.2,349.39,334.94,343.43,0,"13,468",BITBTC,-0.00512746234067
416583,2014-11-10,371.34,379.49,369.0,375.0,592,"14,488",BITBTC,0.00985619647762
416582,2014-11-11,374.84,375.24,360.78,363.73,385,"15,429",BITBTC,-0.0296393127734
416581,2014-11-12,398.16,444.06,397.8,440.4,"2,173","16,385",BITBTC,0.106088004822
416580,2014-11-13,440.51,475.01,410.22,421.01,"4,881","16,741",BITBTC,-0.0442668724887
416579,2014-11-14,423.37,423.37,379.82,391.46,"4,538","20,126",BITBTC,-0.0753714245223
416578,2014-11-16,384.45,389.33,379.25,389.26,"1,740","18,275",BITBTC,0.0125113798934
416577,2014-11-17,389.29,409.41,362.65,380.02,"1,671","19,322",BITBTC,-0.0238125818798
416576,2014-11-18,377.42,392.31,346.55,370.37,106,"18,212",BITBTC,-0.0186794552488
416575,2014-11-19,371.12,401.96,365.54,377.58,754,"17,701",BITBTC,0.0174067687002
416574,2014-11-20,380.44,384.71,349.75,352.93,218,"17,340",BITBTC,-0.0723110083062
416573,2014-11-21,353.44,385.41,332.57,356.61,327,"16,321",BITBTC,0.00896899049344
416572,2014-11-22,356.67,372.33,341.37,346.9,"1,912","16,506",BITBTC,-0.027392267362
416571,2014-11-23,346.86,377.07,341.9,373.22,847,"16,010",BITBTC,0.0759960791097
416570,2014-11-24,379.07,394.01,378.54,394.01,428,"17,374",BITBTC,0.0394122457594
416569,2014-11-25,385.42,407.19,381.05,389.53,"1,779","18,004",BITBTC,0.0106636915573
416568,2014-11-26,387.86,391.14,365.5,368.42,37,"18,267",BITBTC,-0.0501211777445
416567,2014-11-27,369.34,389.61,364.48,369.95,"1,117","17,026",BITBTC,0.00165159473656
416566,2014-11-28,369.84,383.27,359.44,381.79,1,"17,556",BITBTC,0.0323112697383
